DEPARTAMENTO,MUNICIPIO,FECHA,EVENTO,FALLECIDOS,HERIDOS,FAMILIAS,VIVIENDAS_DESTRUIDAS,HECTAREAS,RECURSOS_EJECUTADOS,VALOR_KIT_DE_ALIMENTO,VALOR_MATERIALES_DE_CONSTRUCCION,VALORES_MATERIALES_DE_CONSTRUCCION
AMAZONAS,SAN JERONIMO,01/01/19,INCENDIO ESTRUCTURAL,0,0,1,1,0,0,0,0,0
AMAZONAS,MARSELLA,01/01/19,INMERSION,1,0,0,0,0,0,0,0,0
AMAZONAS,ANZA,01/01/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,6,0,0,0,0
AMAZONAS,MONTEBELLO,01/01/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
AMAZONAS,CAUCASIA,01/01/19,INCENDIO ESTRUCTURAL,0,1,1,1,0,0,0,0,0
AMAZONAS,AMAGA,01/01/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
AMAZONAS,SAN VICENTE,01/01/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4,0,0,0,0
AMAZONAS,SANTA MARTA,01/01/19,COLAPSO ESTRUCTURAL,0,0,1,0,0,0,0,0,0
AMAZONAS,LOS SANTOS,01/01/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,15,0,0,0,0
AMAZONAS,ZIPAQUIRA,01/01/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,30,0,0,0,0
AMAZONAS,VISTAHERMOSA,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,200,0,0,0,0
ANTIOQUIA,LA CEJA,01/01/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,MEDELLIN,01/01/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,20,0,0,0,0
ANTIOQUIA,BOAVITA,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0,0,0,0,0
ANTIOQUIA,INIRIDA,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5,0,0,0,0
ANTIOQUIA,VILLETA,01/01/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,VILLETA,01/01/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,BITUIMA,01/01/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,VILLETA,01/01/19,INCENDIO ESTRUCTURAL,0,0,1,0,0,0,0,0,0
ANTIOQUIA,SOATA,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,50,0,0,0,0
ANTIOQUIA,SATIVANORTE,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3,0,0,0,0
ANTIOQUIA,JERICO,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0,0,0,0,0
ANTIOQUIA,RAMIRIQUI,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0,0,0,0,0
ANTIOQUIA,PAIPA,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0,0,0,0,0
ANTIOQUIA,COVEÑAS,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,SAN MATEO,01/01/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4,0,0,0,0
ANTIOQUIA,VENTAQUEMADA,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0,0,0,0,0
ANTIOQUIA,LA CALERA,01/01/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4,0,0,0,0
ANTIOQUIA,FUQUENE,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,FOMEQUE,01/02/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,ZIPAQUIRA,01/01/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2,0,0,0,0
ANTIOQUIA,PACHO,01/01/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,12,0,0,0,0
ANTIOQUIA,NOCAIMA,01/01/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,TOCAIMA,01/01/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
