Ano,SEXO,Consultor_2,Trabajo
1999,M,NO,No trabajó en consultoria
2002,M,NO,No trabajó en consultoria
2005,M,NO,No trabajó en consultoria
1998,M,NO,No trabajó en consultoria
1998,M,NO,No trabajó en consultoria
1998,F,NO,No trabajó en consultoria
1999,M,NO,No trabajó en consultoria
1999,M,NO,No trabajó en consultoria
1999,F,NO,No trabajó en consultoria
1999,M,NO,No trabajó en consultoria
1999,M,Ventas,Trabajó en Consultoria
1999,M,NO,No trabajó en consultoria
1999,F,NO,No trabajó en consultoria
1999,F,NO,No trabajó en consultoria
2000,M,NO,No trabajó en consultoria
2000,M,NO,No trabajó en consultoria
2000,M,Gestión Empresarial,Trabajó en Consultoria
2000,F,NO,No trabajó en consultoria
2000,M,NO,No trabajó en consultoria
2000,M,NO,No trabajó en consultoria
2000,F,NO,No trabajó en consultoria
2000,F,Gestión de Calidad,Trabajó en Consultoria
2001,F,NO,No trabajó en consultoria
2001,M,NO,No trabajó en consultoria
2001,F,NO,No trabajó en consultoria
2001,F,NO,No trabajó en consultoria
2001,M,NO,No trabajó en consultoria
2001,M,NO,No trabajó en consultoria
2001,M,NO,No trabajó en consultoria
2001,M,NO,No trabajó en consultoria
2001,F,SAP,Trabajó en Consultoria
2001,M,NO,No trabajó en consultoria
2001,M,NO,No trabajó en consultoria
2001,F,NO,No trabajó en consultoria
2001,M,NO,No trabajó en consultoria
2001,M,NO,No trabajó en consultoria
2001,M,NO,No trabajó en consultoria
2001,M,NO,No trabajó en consultoria
2001,M,NO,No trabajó en consultoria
2001,M,NO,No trabajó en consultoria
2001,F,NO,No trabajó en consultoria
2001,F,NO,No trabajó en consultoria
2001,F,NO,No trabajó en consultoria
2001,F,NO,No trabajó en consultoria
2001,F,NO,No trabajó en consultoria
2001,M,NO,No trabajó en consultoria
2001,F,NO,No trabajó en consultoria
2001,F,NO,No trabajó en consultoria
2001,M,NO,No trabajó en consultoria
2001,M,NO,No trabajó en consultoria
2001,F,NO,No trabajó en consultoria
2001,F,NO,No trabajó en consultoria
2001,F,NO,No trabajó en consultoria
2001,M,NO,No trabajó en consultoria
2002,F,NO,No trabajó en consultoria
2002,F,NO,No trabajó en consultoria
2002,F,NO,No trabajó en consultoria
2002,M,NO,No trabajó en consultoria
2002,M,NO,No trabajó en consultoria
2002,M,NO,No trabajó en consultoria
2002,F,NO,No trabajó en consultoria
2002,M,NO,No trabajó en consultoria
2002,M,NO,No trabajó en consultoria
2002,F,NO,No trabajó en consultoria
2002,M,NO,No trabajó en consultoria
2002,M,NO,No trabajó en consultoria
2002,M,NO,No trabajó en consultoria
2002,M,NO,No trabajó en consultoria
2002,M,NO,No trabajó en consultoria
2002,M,NO,No trabajó en consultoria
2002,M,NO,No trabajó en consultoria
2002,F,NO,No trabajó en consultoria
2002,M,NO,No trabajó en consultoria
2002,M,NO,No trabajó en consultoria
2002,M,NO,No trabajó en consultoria
2002,F,NO,No trabajó en consultoria
2002,F,NO,No trabajó en consultoria
2003,F,NO,No trabajó en consultoria
2003,F,NO,No trabajó en consultoria
2003,F,NO,No trabajó en consultoria
2003,M,NO,No trabajó en consultoria
2003,M,NO,No trabajó en consultoria
2003,F,NO,No trabajó en consultoria
2003,F,Emprendimiento,Trabajó en Consultoria
2003,F,NO,No trabajó en consultoria
2003,M,NO,No trabajó en consultoria
2003,M,NO,No trabajó en consultoria
2003,F,NO,No trabajó en consultoria
2003,F,NO,No trabajó en consultoria
2003,M,NO,No trabajó en consultoria
2003,M,NO,No trabajó en consultoria
2003,F,NO,No trabajó en consultoria
2003,F,NO,No trabajó en consultoria
2003,F,NO,No trabajó en consultoria
2003,M,NO,No trabajó en consultoria
2003,F,NO,No trabajó en consultoria
2003,F,NO,No trabajó en consultoria
2003,F,NO,No trabajó en consultoria
2004,M,NO,No trabajó en consultoria
2004,M,NO,No trabajó en consultoria
2004,M,NO,No trabajó en consultoria
2004,M,NO,No trabajó en consultoria
2004,M,NO,No trabajó en consultoria
2004,M,NO,No trabajó en consultoria
2004,M,NO,No trabajó en consultoria
2004,M,NO,No trabajó en consultoria
2004,M,NO,No trabajó en consultoria
2004,M,NO,No trabajó en consultoria
2004,M,NO,No trabajó en consultoria
2004,F,NO,No trabajó en consultoria
2004,M,NO,No trabajó en consultoria
2004,M,NO,No trabajó en consultoria
2004,F,NO,No trabajó en consultoria
2004,M,NO,No trabajó en consultoria
2004,F,NO,No trabajó en consultoria
2004,F,NO,No trabajó en consultoria
2004,F,NO,No trabajó en consultoria
2004,M,NO,No trabajó en consultoria
2005,F,Salud Ocupacional,Trabajó en Consultoria
2005,F,NO,No trabajó en consultoria
2005,F,NO,No trabajó en consultoria
2005,M,NO,No trabajó en consultoria
2005,M,Procesos,Trabajó en Consultoria
2005,M,NO,No trabajó en consultoria
2005,F,NO,No trabajó en consultoria
2005,M,NO,No trabajó en consultoria
2005,M,NO,No trabajó en consultoria
