Ano,SEXO,Coordinador_3,Trabajo
1999,M,NO,No trabajó de Coordinador
2002,M,NO,No trabajó de Coordinador
2005,M,NO,No trabajó de Coordinador
1998,M,NO,No trabajó de Coordinador
1998,M,NO,No trabajó de Coordinador
1998,F,NO,No trabajó de Coordinador
1999,M,NO,No trabajó de Coordinador
1999,M,NO,No trabajó de Coordinador
1999,F,NO,No trabajó de Coordinador
1999,M,NO,No trabajó de Coordinador
1999,M,NO,No trabajó de Coordinador
1999,M,NO,No trabajó de Coordinador
1999,F,NO,No trabajó de Coordinador
1999,F,NO,No trabajó de Coordinador
2000,M,NO,No trabajó de Coordinador
2000,M,NO,No trabajó de Coordinador
2000,M,Distribución Cuentas Corporativas,Trabajó de Coordinador
2000,F,NO,No trabajó de Coordinador
2000,M,NO,No trabajó de Coordinador
2000,M,NO,No trabajó de Coordinador
2000,F,NO,No trabajó de Coordinador
2000,F,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,M,Mercadeo,Trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,F,Operaciones de Negocio,Trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,F,NO,No trabajó de Coordinador
2001,M,NO,No trabajó de Coordinador
2002,F,NO,No trabajó de Coordinador
2002,F,NO,No trabajó de Coordinador
2002,F,NO,No trabajó de Coordinador
2002,M,NO,No trabajó de Coordinador
2002,M,NO,No trabajó de Coordinador
2002,M,NO,No trabajó de Coordinador
2002,F,NO,No trabajó de Coordinador
2002,M,NO,No trabajó de Coordinador
2002,M,NO,No trabajó de Coordinador
2002,F,NO,No trabajó de Coordinador
