Año,SEXO,LinkedIn,Diplomado_1,Diplomado_2,Especialización_1,Especialización_2,Maestría_1,Maestría_2,Doctorado,Docencia_2,Docencia_3,Administrativo_1,Administrativo_2,Administrativo_3,Director_1,Director_2,Director_3,Consultor_1,Consultor_2,Coordinador_1,Coordinador_2,Coordinador_3,Coach,Lider,Supervisor,M+TT(Años),M-TT(Años),TD,TA,TDir,TC,TCoor,TCoa,TLi,TSup,#_De_Empresas
2006,F,SI,Ninguno,Ninguno,Producción,Ninguna,Ingeniería Administrativa,Ninguna,Ninguna,Ninguna,Ninguna,Jefe Aseguramiento Operaciones ,Jefe Operaciones STC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,8.08,0,0,8.08,0,0,0,0,0,0,2
2006,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Estadística Aplicada,Ninguna,Ninguna,Universidad Metropolitana,Unviersidad Libre,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Producción,21,5.92,21,0,0,0,0,0,0,5.92,4
2002,F,SI,Ninguno,Ninguno,Ninguna,Ninguna,Innovación y Emprendimiento,Ninguna,Ninguna,Ninguna,Ninguna,Finanzas,NO,NO,Finanzas,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,11,2,0,2.08,11,0,0,0,0,0,2
2004,M,SI,Ninguno,Ninguno,Salud Ocupacional,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Asesor de Empresas,Salud Ocupacional,NO,NO,NO,NO,NO,NO,Producción,NO,NO,NO,NO,NO,17.16,1.75,0,17.16,0,0,5.75,0,0,0,6
2003,F,SI,Ninguno,Ninguno,Gestión de Calidad,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Practicas Empresariales,Analista de Cargos,NO,NO,NO,NO,NO,NO,Gestión de Calidad,NO,NO,NO,NO,NO,15.92,0.75,0,3.75,0,0,15.92,0,0,0,3
2004,F,SI,Ninguno,Logistica Empresarial,Gestión de la Ciencia,Tecnología,Innovación y Política Ciéntifica,Administración de Empresas,Ciencias de la Admnistración,Corporación Unversitaria Corsalud,Universidad Simón Bolivar,Asesor Técnico,Asesor Técnico,NO,NO,NO,NO,NO,NO,Gestión de Calidad,Proyectos,Proyectos Empresariales,NO,NO,NO,16,1.5,16,0,1.5,0,3,0,0,0,9
2005,F,SI,Ninguno,Ninguno,Salud Ocupacional,Diseño y Evaluación de Proyectos,Finanzas,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,Seguridad Industrial,NO,NO,Salud Ocupacional,Salud Ocupacional,Gestión de Riesgo,NO,NO,NO,NO,NO,5,3.42,3.42,0,3.42,5,4.5,0,0,0,6
2003,F,SI,Ninguno,Ninguno,Logistica Empresarial,Gestión de Calidad,Administración e Innovación,Ninguna,Aministración y Desarrollo empresarial,Institución Universitaria de Barranquillla,Ninguna,Axuliar de Productividad,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Producción,11.08,1,11.08,0,0,0,0,0,0,1,7
2001,F,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Universidad Abierta y a Distancia,Ninguna,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,18.75,7,18.75,0,0,0,0,0,0,0,2
2003,F,SI,Educación Ambiental,Ninguno,Salud Ocupacional,Análisis y Gestión Ambiental,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Gerente de Operaciones,Asesor Externo,Asesor Gestión de Riesgo,NO,NO,NO,NO,NO,Seguridad y Salud en el Trabajo,Riesgo Corporativo,NO,NO,NO,Producción,5.92,3.33,0,3.33,0,0,5.92,0,0,5.33,7
2002,F,SI,Ninguno,Ninguno,Gestión de Calidad,Ninguna,Administración de Negocios,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,Gestión de Calidad,NO,NO,Gestión de Calidad,NO,SIG,Normalización,NO,NO,NO,NO,8.92,1083,0,0,0,2.75,8.92,0,0,0,5
2003,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Analista de Datos,Especialista en Reportes,Gestión de Calidad,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Producción,7,3,0,7,0,0,0,0,0,3,7
