A__o,Diplomado_2
1999,Redes Neuronales
2002,Ninguna
2005,Ninguna
1998,Ninguno
1998,Ninguno
1998,Ninguno
1999,Ninguno
1999,Ninguno
1999,Ninguno
1999,Ninguno
1999,Ninguno
1999,Gestión Logística Empresarial
1999,Ninguno
1999,Ninguno
2000,Ninguno
2000,Ninguno
2000,Ninguno
2000,Ninguno
2000,Ninguno
2000,Ninguno
2000,Ninguno
2000,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Seguridad y Salud Ocupacional
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2001,Ninguno
2002,Ninguno
2002,Ninguno
2002,Ninguno
2002,Ninguno
2002,Ninguno
2002,Ninguno
2002,Ninguno
2002,Ninguno
2002,Ninguno
2002,Ninguno
2002,Ninguno
2002,Ninguno
2002,Ninguno
2002,Ninguno
2002,Ninguno
2002,Operaciones Globales
2002,Contratación Estatal
2002,Ninguno
2002,Ninguno
2002,Ninguno
2002,Ninguno
2002,Ninguno
2002,Ninguno
2003,Ninguno
2003,Ninguno
2003,Ninguno
2003,Ninguno
2003,Ninguno
2003,Ninguno
2003,Ninguno
2003,Ninguno
2003,Ninguno
2003,Ninguno
2003,Ninguno
2003,Ninguno
2003,Ninguno
2003,Ninguno
2003,Ninguno
2003,Ninguno
2003,Ninguno
2003,Ninguno
2003,Ninguno
2003,Ninguno
2003,Ninguno
2004,Ninguno
2004,Ninguno
2004,Ninguno
2004,Analitica de Datos
2004,Ninguno
2004,Control Interno
2004,Ninguno
2004,Ninguno
2004,Ninguno
2004,Ninguno
2004,Ninguno
2004,Ninguno
2004,Ninguno
2004,Ninguno
2004,Ninguno
2004,Ninguno
2004,Ninguno
2004,Ninguno
2004,Ninguno
2004,Ninguno
2005,Ninguno
2005,Ninguno
2005,Administración de Riesgo y Auditoria Forense
2005,Ninguno
2005,Ninguno
2005,Ninguno
2005,Ninguno
2005,Ninguno
2005,Ninguno
2005,Ninguno
2005,Ninguno
2005,Ninguno
2005,Ninguno
2005,Ninguno
2005,Ninguno
2005,Ninguno
2005,Ninguno
2005,Ninguno
2005,Ninguno
2005,Ninguno
2005,Ninguno
2005,Ninguno
2005,Ninguno
2005,Ninguno
2005,Ninguno
2005,Ninguno
2005,Ninguno
2005,Ninguno
2005,Ninguno
2006,Ninguno
2006,Ninguno
2006,Ninguno
2006,Ninguno
2006,Ninguno
2006,Ninguno
2006,Ninguno
2006,Ninguno
2006,Ninguno
2006,Ninguno
2006,Ninguno
2006,Ninguno
2006,Ninguno
2006,Ninguno
2007,Ninguno
2007,Ninguno
2007,Ninguno
2007,Ninguno
2007,Comercio Exterior
2007,Ninguno
2007,Ninguno
2007,Ninguno
2007,Ninguno
2007,Ninguno
2007,Ninguno
2007,Ninguno
2007,Ninguno
2007,Ninguno
2007,Ninguno
2007,Sistemas Financeros
2007,Logistica Empresarial
2007,Ninguno
2008,Ninguno
2009,Seguridad y Salud Ocupacional
1999,Ninguno
2003,Ninguno
2006,Ninguno
2006,Ninguno
2001,Ninguno
2004,Logistica Empresarial
2004,Ninguno
2004,Ninguno
2001,Ninguno
1999,Ninguno
2001,Ninguno
2002,Ninguno
2000,Ninguno
2004,Ninguno
2004,Ninguno
2000,Análisis y Gestión Ambiental
1998,Ninguno
2006,Ninguno
2005,Ninguno
