Ano,SEXO,Director_3,Trabajo
1999,M,NO,No trabajó de Director
2002,M,Seguridad,Trabajó de Director
2005,M,NO,No trabajó de Director
1998,M,NO,No trabajó de Director
1998,M,NO,No trabajó de Director
1998,F,NO,No trabajó de Director
1999,M,NO,No trabajó de Director
1999,M,NO,No trabajó de Director
1999,F,NO,No trabajó de Director
1999,M,Producción,Trabajó de Director
1999,M,NO,No trabajó de Director
1999,M,NO,No trabajó de Director
1999,F,NO,No trabajó de Director
1999,F,NO,No trabajó de Director
2000,M,NO,No trabajó de Director
2000,M,NO,No trabajó de Director
2000,M,NO,No trabajó de Director
2000,F,NO,No trabajó de Director
2000,M,NO,No trabajó de Director
2000,M,NO,No trabajó de Director
2000,F,NO,No trabajó de Director
2000,F,NO,No trabajó de Director
2001,F,NO,No trabajó de Director
2001,M,NO,No trabajó de Director
2001,F,NO,No trabajó de Director
2001,F,NO,No trabajó de Director
2001,M,NO,No trabajó de Director
2001,M,NO,No trabajó de Director
2001,M,NO,No trabajó de Director
2001,M,Producción,Trabajó de Director
2001,F,NO,No trabajó de Director
2001,M,NO,No trabajó de Director
2001,M,NO,No trabajó de Director
2001,F,NO,No trabajó de Director
2001,M,NO,No trabajó de Director
2001,M,NO,No trabajó de Director
2001,M,NO,No trabajó de Director
2001,M,NO,No trabajó de Director
2001,M,NO,No trabajó de Director
2001,M,NO,No trabajó de Director
2001,F,NO,No trabajó de Director
2001,F,NO,No trabajó de Director
2001,F,NO,No trabajó de Director
2001,F,NO,No trabajó de Director
2001,F,NO,No trabajó de Director
2001,M,NO,No trabajó de Director
2001,F,NO,No trabajó de Director
2001,F,NO,No trabajó de Director
2001,M,Operaciones y Demanda,Trabajó de Director
2001,M,NO,No trabajó de Director
2001,F,NO,No trabajó de Director
2001,F,NO,No trabajó de Director
2001,F,NO,No trabajó de Director
2001,M,NO,No trabajó de Director
2002,F,NO,No trabajó de Director
2002,F,NO,No trabajó de Director
2002,F,NO,No trabajó de Director
2002,M,NO,No trabajó de Director
2002,M,NO,No trabajó de Director
2002,M,NO,No trabajó de Director
2002,F,NO,No trabajó de Director
2002,M,NO,No trabajó de Director
2002,M,NO,No trabajó de Director
2002,F,NO,No trabajó de Director
2002,M,NO,No trabajó de Director
2002,M,NO,No trabajó de Director
2002,M,NO,No trabajó de Director
2002,M,NO,No trabajó de Director
2002,M,NO,No trabajó de Director
2002,M,NO,No trabajó de Director
2002,M,NO,No trabajó de Director
2002,F,NO,No trabajó de Director
2002,M,NO,No trabajó de Director
2002,M,NO,No trabajó de Director
2002,M,NO,No trabajó de Director
2002,F,NO,No trabajó de Director
2002,F,NO,No trabajó de Director
2003,F,NO,No trabajó de Director
2003,F,NO,No trabajó de Director
2003,F,NO,No trabajó de Director
2003,M,NO,No trabajó de Director
2003,M,NO,No trabajó de Director
2003,F,NO,No trabajó de Director
2003,F,NO,No trabajó de Director
2003,F,NO,No trabajó de Director
2003,M,NO,No trabajó de Director
2003,M,NO,No trabajó de Director
2003,F,NO,No trabajó de Director
2003,F,NO,No trabajó de Director
2003,M,NO,No trabajó de Director
2003,M,NO,No trabajó de Director
2003,F,NO,No trabajó de Director
2003,F,NO,No trabajó de Director
2003,F,NO,No trabajó de Director
2003,M,NO,No trabajó de Director
2003,F,NO,No trabajó de Director
2003,F,NO,No trabajó de Director
2003,F,NO,No trabajó de Director
2004,M,NO,No trabajó de Director
2004,M,NO,No trabajó de Director
2004,M,NO,No trabajó de Director
2004,M,NO,No trabajó de Director
2004,M,NO,No trabajó de Director
2004,M,NO,No trabajó de Director
2004,M,NO,No trabajó de Director
2004,M,NO,No trabajó de Director
2004,M,NO,No trabajó de Director
2004,M,NO,No trabajó de Director
2004,M,NO,No trabajó de Director
2004,F,NO,No trabajó de Director
2004,M,NO,No trabajó de Director
2004,M,NO,No trabajó de Director
2004,F,NO,No trabajó de Director
2004,M,NO,No trabajó de Director
2004,F,NO,No trabajó de Director
2004,F,NO,No trabajó de Director
2004,F,NO,No trabajó de Director
2004,M,NO,No trabajó de Director
2005,F,NO,No trabajó de Director
2005,F,NO,No trabajó de Director
2005,F,NO,No trabajó de Director
2005,M,NO,No trabajó de Director
2005,M,NO,No trabajó de Director
2005,M,NO,No trabajó de Director
2005,F,NO,No trabajó de Director
2005,M,NO,No trabajó de Director
2005,M,NO,No trabajó de Director
2005,M,NO,No trabajó de Director
2005,F,NO,No trabajó de Director
2005,M,NO,No trabajó de Director
2005,M,NO,No trabajó de Director
2005,M,NO,No trabajó de Director
2005,M,NO,No trabajó de Director
2005,M,NO,No trabajó de Director
2005,M,NO,No trabajó de Director
2005,M,NO,No trabajó de Director
2005,F,NO,No trabajó de Director
2005,F,NO,No trabajó de Director
2005,M,NO,No trabajó de Director
2005,F,NO,No trabajó de Director
2005,M,NO,No trabajó de Director
2005,M,NO,No trabajó de Director
2005,M,NO,No trabajó de Director
2005,M,NO,No trabajó de Director
2005,M,NO,No trabajó de Director
2005,M,NO,No trabajó de Director
2005,F,NO,No trabajó de Director
2006,F,NO,No trabajó de Director
2006,F,NO,No trabajó de Director
2006,M,NO,No trabajó de Director
2006,M,NO,No trabajó de Director
2006,F,NO,No trabajó de Director
2006,M,NO,No trabajó de Director
2006,F,NO,No trabajó de Director
2006,F,NO,No trabajó de Director
2006,M,NO,No trabajó de Director
2006,M,NO,No trabajó de Director
2006,F,NO,No trabajó de Director
2006,F,NO,No trabajó de Director
2006,F,NO,No trabajó de Director
2006,F,NO,No trabajó de Director
2007,M,NO,No trabajó de Director
2007,M,NO,No trabajó de Director
2007,M,NO,No trabajó de Director
2007,M,NO,No trabajó de Director
2007,F,NO,No trabajó de Director
2007,M,NO,No trabajó de Director
2007,M,NO,No trabajó de Director
2007,M,Operaciones y Demanda,Trabajó de Director
2007,F,NO,No trabajó de Director
2007,M,NO,No trabajó de Director
2007,M,NO,No trabajó de Director
2007,M,NO,No trabajó de Director
2007,M,NO,No trabajó de Director
2007,M,NO,No trabajó de Director
2007,F,NO,No trabajó de Director
2007,M,NO,No trabajó de Director
2007,M,NO,No trabajó de Director
2007,M,NO,No trabajó de Director
2008,M,NO,No trabajó de Director
2009,F,NO,No trabajó de Director
1999,M,NO,No trabajó de Director
2003,M,NO,No trabajó de Director
2006,M,NO,No trabajó de Director
2006,M,NO,No trabajó de Director
2001,M,NO,No trabajó de Director
2004,F,NO,No trabajó de Director
2004,M,NO,No trabajó de Director
2004,M,NO,No trabajó de Director
2001,F,NO,No trabajó de Director
1999,M,NO,No trabajó de Director
2001,M,NO,No trabajó de Director
2002,M,NO,No trabajó de Director
2000,F,NO,No trabajó de Director
2004,M,NO,No trabajó de Director
2004,M,NO,No trabajó de Director
2000,M,Negocios,Trabajó de Director
1998,M,NO,No trabajó de Director
2006,F,NO,No trabajó de Director
2005,M,NO,No trabajó de Director
