Ano,SEXO,Docencia_2,Docente
1999,M,Ninguna,No
2002,M,Ninguna,No
2005,M,Ninguna,No
1998,M,Ninguna,No
1998,M,Ninguna,No
1998,F,Ninguna,No
1999,M,Ninguna,No
1999,M,Ninguna,No
1999,F,Ninguna,No
1999,M,Ninguna,No
1999,M,Ninguna,No
1999,M,Ninguna,No
1999,F,Ninguna,No
1999,F,Ninguna,No
2000,M,Ninguna,No
2000,M,Ninguna,No
2000,M,Ninguna,No
2000,F,Fundación Universitaria Conrad Lorenz,Si
2000,M,Ninguna,No
2000,M,Ninguna,No
2000,F,Ninguna,No
2000,F,Ninguna,No
2001,F,Universidad Abierta y a Distancia,Si
2001,M,Ninguna,No
2001,F,Ninguna,No
2001,F,Ninguna,No
2001,M,Ninguna,No
2001,M,Ninguna,No
2001,M,IEE El Carmen,Si
2001,M,Ninguna,No
2001,F,Ninguna,No
2001,M,Ninguna,No
2001,M,Ninguna,No
2001,F,Ninguna,No
2001,M,Ninguna,No
2001,M,Ninguna,No
2001,M,Ninguna,No
2001,M,Ninguna,No
2001,M,Ninguna,No
2001,M,Ninguna,No
2001,F,Ninguna,No
2001,F,Ninguna,No
2001,F,Ninguna,No
2001,F,Ninguna,No
2001,F,Ninguna,No
2001,M,Ninguna,No
2001,F,Universidad Autonoma del caribe,Si
2001,F,Ninguna,No
2001,M,Ninguna,No
2001,M,Ninguna,No
2001,F,Ninguna,No
2001,F,Ninguna,No
2001,F,Ninguna,No
2001,M,Ninguna,No
2002,F,Ninguna,No
2002,F,Ninguna,No
2002,F,Ninguna,No
2002,M,Ninguna,No
2002,M,Ninguna,No
2002,M,Ninguna,No
2002,F,Ninguna,No
2002,M,Ninguna,No
2002,M,Ninguna,No
2002,F,Ninguna,No
2002,M,Ninguna,No
2002,M,Universidad del Magdalena,Si
2002,M,Ninguna,No
2002,M,Ninguna,No
2002,M,Ninguna,No
2002,M,Ninguna,No
2002,M,Ninguna,No
2002,F,Ninguna,No
2002,M,Ninguna,No
2002,M,Ninguna,No
2002,M,Ninguna,No
2002,F,Ninguna,No
2002,F,Ninguna,No
2003,F,Ninguna,No
2003,F,Institución Universitaria de Barranquillla,Si
2003,F,Ninguna,No
2003,M,Ninguna,No
2003,M,Ninguna,No
