Anio,Especializacion_1,SEXO,Confirmacion
1999,Lógica Difusa yAlgoritmos,M,Tiene
2002,Ninguno,M,Ninguno
2005,Procesos Industriales,M,Tiene
1998,Gestión de Calidad,M,Tiene
1998,Ninguno,M,Ninguno
1998,Estadística,F,Tiene
1999,Ninguno,M,Ninguno
1999,Gestión de Calidad,M,Tiene
1999,Ninguno,F,Ninguno
1999,Administración de Negocios,M,Tiene
1999,Salud Ocupacional,M,Tiene
1999,Ninguno,M,Ninguno
1999,Finanzas,F,Tiene
1999,Ninguno,F,Ninguno
2000,Ninguno,M,Ninguno
2000,Logistica Empresarial,M,Tiene
2000,Gerencia Comercial de Proyectos,M,Tiene
2000,Finanzas,F,Tiene
2000,Logistica Empresarial,M,Tiene
2000,Contabilidad Finanzas y Fiscalidad,M,Tiene
2000,Administración y Gestión de Empresas,F,Tiene
2000,Gestión de Calidad,F,Tiene
2001,Ninguno,F,Ninguno
2001,Ninguno,M,Ninguno
2001,Gerencia de Proyectos,F,Tiene
2001,Ninguno,F,Ninguno
2001,Direccion de Plantas Industriales,M,Tiene
2001,Ninguno,M,Ninguno
2001,Administración Informatica,M,Tiene
2001,Gestión de Calidad,M,Tiene
2001,Gestión de Proyectos,F,Tiene
2001,Logistica Empresarial,M,Tiene
2001,Salud Ocupacional,M,Tiene
2001,Ninguno,F,Ninguno
2001,Ninguno,M,Ninguno
2001,Ninguno,M,Ninguno
2001,Logistica Empresarial,M,Tiene
2001,Gestión de Calidad,M,Tiene
2001,Ninguno,M,Ninguno
2001,Ninguno,M,Ninguno
2001,Gerencia de Mercadeo,F,Tiene
2001,Gerencia Financiera,F,Tiene
2001,Ninguno,F,Ninguno
2001,Ninguno,F,Ninguno
2001,Ninguno,F,Ninguno
2001,Ninguno,M,Ninguno
2001,Ninguno,F,Ninguno
2001,Ninguno,F,Ninguno
2001,Ninguno,M,Ninguno
2001,Ninguno,M,Ninguno
2001,Gestión de Calidad,F,Tiene
2001,Logistica Empresarial,F,Tiene
2001,Gestión de Calidad,F,Tiene
2001,Salud Ocupacional,M,Tiene
2002,Ninguno,F,Ninguno
2002,Gestión de Calidad,F,Tiene
2002,Salud Ocupacional,F,Tiene
2002,Salud Ocupacional,M,Tiene
2002,Ninguno,M,Ninguno
2002,Ninguno,M,Ninguno
2002,Gestión de Proyectos,F,Tiene
2002,Salud Ocupacional,M,Tiene
2002,Logistica Empresarial,M,Tiene
2002,Gerencia de Empresas,F,Tiene
