Anio,SEXO,Especializacion_2,Confirmacion
1999,M,Ninguno,Ninguno
2002,M,Ninguno,Ninguno
2005,M,Ninguno,Ninguno
1998,M,Gerencia de Recursos Humanos,Tiene
1998,M,Ninguno,Ninguno
1998,F,Ninguno,Ninguno
1999,M,Ninguno,Ninguno
1999,M,Gestión Pública,Tiene
1999,F,Ninguno,Ninguno
1999,M,Ciencia en Ingenieria Industrial,Tiene
1999,M,Prevención y control del fuego para la industria petroquimica,Tiene
1999,M,Ninguno,Ninguno
1999,F,Ninguno,Ninguno
1999,F,Ninguno,Ninguno
2000,M,Ninguno,Ninguno
2000,M,Ninguno,Ninguno
2000,M,Ninguno,Ninguno
2000,F,Ninguno,Ninguno
2000,M,Ninguno,Ninguno
2000,M,Ninguno,Ninguno
2000,F,Ninguno,Ninguno
2000,F,Ninguno,Ninguno
2001,F,Ninguno,Ninguno
2001,M,Ninguno,Ninguno
2001,F,Ninguno,Ninguno
2001,F,Ninguno,Ninguno
2001,M,Ninguno,Ninguno
2001,M,Ninguno,Ninguno
2001,M,Ninguno,Ninguno
2001,M,Gerencia de Sistemas de Información,Tiene
2001,F,Gestión de Proyectos de Tecnólogia de la Información,Tiene
2001,M,Ninguno,Ninguno
2001,M,Salud y cuidado ocupacional de calidad,Tiene
2001,F,Ninguno,Ninguno
2001,M,Ninguno,Ninguno
2001,M,Ninguno,Ninguno
2001,M,Ninguno,Ninguno
2001,M,Ninguno,Ninguno
2001,M,Ninguno,Ninguno
2001,M,Ninguno,Ninguno
2001,F,Ninguno,Ninguno
2001,F,Ninguno,Ninguno
2001,F,Ninguno,Ninguno
2001,F,Ninguno,Ninguno
2001,F,Ninguno,Ninguno
2001,M,Ninguno,Ninguno
2001,F,Ninguno,Ninguno
2001,F,Ninguno,Ninguno
2001,M,Ninguno,Ninguno
2001,M,Ninguno,Ninguno
2001,F,Ninguno,Ninguno
2001,F,Ninguno,Ninguno
2001,F,Ninguno,Ninguno
2001,M,Análisis y Gestión Ambiental,Tiene
2002,F,Ninguno,Ninguno
2002,F,Ninguno,Ninguno
2002,F,Ninguno,Ninguno
2002,M,Ninguno,Ninguno
2002,M,Ninguno,Ninguno
2002,M,Ninguno,Ninguno
2002,F,Ninguno,Ninguno
2002,M,Ninguno,Ninguno
2002,M,Ninguno,Ninguno
2002,F,Ninguno,Ninguno
2002,M,Ninguno,Ninguno
2002,M,Ninguno,Ninguno
2002,M,Ninguno,Ninguno
2002,M,Ninguno,Ninguno
2002,M,Ninguno,Ninguno
2002,M,Ninguno,Ninguno
2002,M,Diseño y Evaluación de Proyectos,Tiene
2002,F,Ninguno,Ninguno
2002,M,Ninguno,Ninguno
2002,M,Ninguno,Ninguno
2002,M,Ninguno,Ninguno
2002,F,Ninguno,Ninguno
2002,F,Ninguno,Ninguno
2003,F,Ninguno,Ninguno
2003,F,Gestión de Calidad,Tiene
