Ano,SEXO,Maestria_1,Confirmacion
1999,M,Diseño y Evaluación de Proyectos,Tiene
2002,M,Ciencias de la Educación,Tiene
2005,M,Ninguna,Ninguno
1998,M,Ninguna,Ninguno
1998,M,Ninguna,Ninguno
1998,F,Ingeniería Industrial,Tiene
1999,M,Ninguna,Ninguno
1999,M,Gestión de Calidad,Tiene
1999,F,Ingenieria Industrial,Tiene
1999,M,Ninguna,Ninguno
1999,M,Ninguna,Ninguno
1999,M,Ninguna,Ninguno
1999,F,Gestión Administrativa de Negocios,Tiene
1999,F,Ninguna,Ninguno
2000,M,Ninguna,Ninguno
2000,M,Ninguna,Ninguno
2000,M,Administración y Direccion de Empresas,Tiene
2000,F,Administración y Direccion de Empresas,Tiene
2000,M,Ninguna,Ninguno
2000,M,Dirección y Gestión de Planes,Tiene
2000,F,Ninguna,Ninguno
2000,F,Ninguna,Ninguno
2001,F,Ninguna,Ninguno
2001,M,Matematicas y Ciencia,Tiene
2001,F,Administración de Proyectos,Tiene
2001,F,Gestión de Calidad,Tiene
2001,M,Ninguna,Ninguno
2001,M,Ninguna,Ninguno
2001,M,Gestión de la Tecnología Educativa,Tiene
2001,M,Ingenieria Industrial,Tiene
2001,F,Logística,Tiene
2001,M,Ninguna,Ninguno
2001,M,Ninguna,Ninguno
2001,F,Ninguna,Ninguno
2001,M,Ninguna,Ninguno
2001,M,Ninguna,Ninguno
2001,M,Administración y Direccion de Empresas,Tiene
2001,M,Ninguna,Ninguno
2001,M,Ninguna,Ninguno
2001,M,Ninguna,Ninguno
2001,F,Ninguna,Ninguno
2001,F,Ninguna,Ninguno
2001,F,Ninguna,Ninguno
2001,F,Ninguna,Ninguno
2001,F,Prevención de Riesgos Laborales,Tiene
2001,M,Ninguna,Ninguno
2001,F,Ninguna,Ninguno
2001,F,Ninguna,Ninguno
2001,M,Administración y Direccion de Empresas,Tiene
2001,M,Ninguna,Ninguno
2001,F,Ninguna,Ninguno
2001,F,Ninguna,Ninguno
2001,F,Gestión de la Innovación,Tiene
2001,M,Ninguna,Ninguno
2002,F,Innovación y Emprendimiento,Tiene
2002,F,Administración de Negocios,Tiene
2002,F,Ninguna,Ninguno
2002,M,Ninguna,Ninguno
2002,M,Ninguna,Ninguno
2002,M,Ninguna,Ninguno
2002,F,Administración de Proyectos,Tiene
2002,M,Ninguna,Ninguno
2002,M,Ingeniería Administrativa,Tiene
2002,F,Ninguna,Ninguno
2002,M,Ninguna,Ninguno
2002,M,Ingenieria Industrial,Tiene
2002,M,Ninguna,Ninguno
2002,M,Ninguna,Ninguno
2002,M,Ninguna,Ninguno
2002,M,Administración y Direccion de Empresas,Tiene
2002,M,Ninguna,Ninguno
2002,F,Ninguna,Ninguno
2002,M,Ninguna,Ninguno
2002,M,Gestión y Dirección de Marketing,Tiene
2002,M,Administración e Innovación,Tiene
2002,F,Ninguna,Ninguno
2002,F,Ninguna,Ninguno
2003,F,Ninguna,Ninguno
2003,F,Administración e Innovación,Tiene
2003,F,Ninguna,Ninguno
2003,M,Ninguna,Ninguno
2003,M,Gestión Administrativa de Negocios,Tiene
2003,F,Ninguna,Ninguno
2003,F,Gestión Administrativa de Negocios,Tiene
2003,F,Administración de Empresas,Tiene
2003,M,Administración de Empresas e Innovación,Tiene
2003,M,Ninguna,Ninguno
2003,F,Ninguna,Ninguno
2003,F,Ninguna,Ninguno
2003,M,Ninguna,Ninguno
2003,M,Ninguna,Ninguno
2003,F,Logística Integral y Comercio Exterior,Tiene
2003,F,Ninguna,Ninguno
2003,F,Ninguna,Ninguno
2003,M,Administración de Empresas,Tiene
2003,F,Ninguna,Ninguno
2003,F,Ninguna,Ninguno
2003,F,Ninguna,Ninguno
2004,M,Ninguna,Ninguno
2004,M,Ninguna,Ninguno
2004,M,Ninguna,Ninguno
2004,M,Ninguna,Ninguno
2004,M,Ninguna,Ninguno
2004,M,Ninguna,Ninguno
2004,M,Ninguna,Ninguno
2004,M,Ninguna,Ninguno
2004,M,Ninguna,Ninguno
2004,M,Ninguna,Ninguno
2004,M,Ninguna,Ninguno
2004,F,Prevención de Riesgos Laborales,Tiene
2004,M,Gestión Logistica,Tiene
2004,M,Ninguna,Ninguno
2004,F,Ninguna,Ninguno
2004,M,Ninguna,Ninguno
2004,F,Ninguna,Ninguno
2004,F,Ninguna,Ninguno
2004,F,Ninguna,Ninguno
2004,M,Finanzas,Tiene
2005,F,Finanzas,Tiene
2005,F,Ninguna,Ninguno
2005,F,Ninguna,Ninguno
2005,M,Ninguna,Ninguno
2005,M,Ninguna,Ninguno
2005,M,Ninguna,Ninguno
2005,F,Ninguna,Ninguno
2005,M,Ninguna,Ninguno
