A__o,Diplomado_1
1999,Inteligencia computacional
2002,Salud Ocupacional
2005,Ninguna
1999,Coaching Gerencial
1999,Organización Industrial
1999,Salud Ocupacional
1999,Marketing
2000,Marketing
2000,Finanzas
2001,Ingeniería de Calidad
2001,Ingeniería de Calidad
2001,Salud Ocupacional
2001,Gestión Comercial
2001,Educación Ambiental
2002,Gerencia de Ventas
2002,Administración y Gestión de Negocios
2002,Gerencia Politica y Gobernabilidad
2003,Educación Ambiental
2003,Pedagogía Universitaria
2003,Sistema de Gestión Integrados
2004,Gestión del Riesgo
2004,Programación de Computadoras
2004,Tomas de Decisiones Eticas en la Organización
2005,Seguridad de la Información
2007,Logística
2007,Procesamiento de Datos
2007,Docencia Inicial Universitaria
2007,Gerencia de Proyectos
2007,Diplomado en Talento Humano
2009,Investigación acerca de la vulnerabilidad en la cadena de suministro
