Ano,SEXO,Doctorado,Confirmacion
1999,M,Dirección de Proyectos,Tiene
2000,M,Administración y Desarrollo empresarial,Tiene
2000,F,Administración y Desarrollo empresarial,Tiene
2001,M,Proyectos de innovación e ingeniería,Tiene
2001,F,Administración y Desarrollo empresarial,Tiene
2001,F,Ciencias de la Administración,Tiene
2001,F,Administración,Tiene
2002,M,Logistica,Tiene
2002,M,Gestión y Desarrollo Tecnologico,Tiene
2003,F,Administración y Desarrollo empresarial,Tiene
2005,M,Ciencias de la Administración,Tiene
2006,M,Ciencias de la Administración,Tiene
2001,M,Ingenieria Industrial,Tiene
2004,F,Ciencias de la Administración,Tiene
2004,M,Gestión Tecnologica,Tiene
2001,F,Gestión y Desarrollo de Negocios ,Tiene
1999,M,Ingenieria Industrial,Tiene
2001,M,Administración y Desarrollo empresarial,Tiene
2000,F,Logistica,Tiene
2004,M,Economia del Agua y Cambio Clímatico,Tiene
