Anio,Especializacion1,SEXO,Confirmacion
1999,Lógica Difusa yAlgoritmos,M,Tiene
2005,Procesos Industriales,M,Tiene
1998,Gestión de Calidad,M,Tiene
1998,Estadística,F,Tiene
1999,Gestión de Calidad,M,Tiene
1999,Administración de Negocios,M,Tiene
1999,Salud Ocupacional,M,Tiene
1999,Finanzas,F,Tiene
2000,Logistica Empresarial,M,Tiene
2000,Gerencia Comercial de Proyectos,M,Tiene
2000,Finanzas,F,Tiene
2000,Logistica Empresarial,M,Tiene
2000,Contabilidad Finanzas y Fiscalidad,M,Tiene
2000,Administración y Gestión de Empresas,F,Tiene
2000,Gestión de Calidad,F,Tiene
2001,Gerencia de Proyectos,F,Tiene
2001,Direccion de Plantas Industriales,M,Tiene
2001,Administración Informatica,M,Tiene
2001,Gestión de Calidad,M,Tiene
2001,Gestión de Proyectos,F,Tiene
2001,Logistica Empresarial,M,Tiene
2001,Salud Ocupacional,M,Tiene
2001,Logistica Empresarial,M,Tiene
2001,Gestión de Calidad,M,Tiene
2001,Gerencia de Mercadeo,F,Tiene
2001,Gerencia Financiera,F,Tiene
2001,Gestión de Calidad,F,Tiene
2001,Logistica Empresarial,F,Tiene
2001,Gestión de Calidad,F,Tiene
2001,Salud Ocupacional,M,Tiene
2002,Gestión de Calidad,F,Tiene
2002,Salud Ocupacional,F,Tiene
2002,Salud Ocupacional,M,Tiene
2002,Gestión de Proyectos,F,Tiene
2002,Salud Ocupacional,M,Tiene
2002,Logistica Empresarial,M,Tiene
2002,Gerencia de Empresas,F,Tiene
2002,Producción,M,Tiene
2002,Prevención en Riesgos Profesionales,M,Tiene
2002,Logistica Empresarial,M,Tiene
2002,Gerencia de Mercadeo,M,Tiene
2002,Gestión de Calidad,M,Tiene
2002,Salud Ocupacional,F,Tiene
2003,Gestión de Calidad,F,Tiene
2003,Logistica Empresarial,F,Tiene
2003,Salud Ocupacional,F,Tiene
2003,Finanzas,M,Tiene
2003,Derecho en el Medio Ambiente,F,Tiene
2003,Finanzas,F,Tiene
2003,Logistica Empresarial,F,Tiene
2003,Logistica Empresarial,M,Tiene
2003,Alta Gerencia,F,Tiene
2003,Gestión de Producción y Operaciones,F,Tiene
2003,Finanzas,M,Tiene
2003,Logistica Empresarial,F,Tiene
2003,Diseño y Evaluación de Proyectos,F,Tiene
2003,Logistica Empresarial,M,Tiene
2003,Gestión de Calidad,F,Tiene
2003,Gerencia Ocupacional,F,Tiene
2003,Gestión Integrada,F,Tiene
2004,Salud Ocupacional,M,Tiene
2004,Finanzas,M,Tiene
2004,Gestión de Calidad,M,Tiene
2004,Data Science,M,Tiene
2004,Administración y Gestión de Empresas,M,Tiene
2004,Logistica Empresarial,M,Tiene
2004,Gestión de Producción y Operaciones,M,Tiene
2004,Gestión de Calidad,F,Tiene
2004,Administración y Gestión de Empresas,M,Tiene
2004,Logistica Empresarial,F,Tiene
2005,Salud Ocupacional,F,Tiene
2005,Gestión de Calidad,F,Tiene
2005,Operaciones y Produccion,M,Tiene
2005,Gestión de Calidad,M,Tiene
2005,Gestión de Proyectos,M,Tiene
2005,Gerencia de Procesos y Calidad,F,Tiene
2005,Gerencia de Empresas,M,Tiene
2005,Gestión de Calidad,M,Tiene
2005,Gerencia de la Calidad,M,Tiene
2005,Gerencia de Recursos Humanos,F,Tiene
2005,Salud Ocupacional,M,Tiene
2005,Gestión de Calidad,M,Tiene
2005,Seguridad y Salud en el Trabajo,M,Tiene
2005,Gestión de Calidad,M,Tiene
2005,Salud Ocupacional,F,Tiene
2006,Producción,F,Tiene
2006,Estadística,F,Tiene
2006,Gestión de Calidad,M,Tiene
2006,Administración de Negocios,M,Tiene
2006,Salud Ocupacional,M,Tiene
2006,Gestión de Calidad,F,Tiene
2006,Gerencia y Control de Riesgos,F,Tiene
2006,Alta Gerencia,M,Tiene
2006,Salud Ocupacional,F,Tiene
2006,Alta Gerencia,F,Tiene
2006,Salud Ocupacional,F,Tiene
2006,Logistica Empresarial,F,Tiene
2007,Logistica Empresarial,M,Tiene
2007,Gerencia y Control de Riesgos,M,Tiene
2007,Gerencia de Proyectos,M,Tiene
2007,Gerencia de Producción y Operaciones,M,Tiene
2007,Administración de Negocios,F,Tiene
2007,Gestión de Calidad,M,Tiene
1999,Innovación y Gestión de Ciudades,M,Tiene
2004,Gestión de la Ciencia,F,Tiene
2004,Gestión de Proyectos,M,Tiene
1999,Pedagogía,M,Tiene
2004,Pedagogía,M,Tiene
2004,Proyectos de Evaluación Social,M,Tiene
2000,Gestión Integrada,M,Tiene
2005,Gerencia en la Producción y Calidad,M,Tiene
