Ano,SEXO,Administrativo_3,Trabajo
1999,M,Gerente,Trabajó en administrativo
2002,M,Seguridad y Ambiente,Trabajó en administrativo
2005,M,Calidad y MedioAmbiente,Trabajó en administrativo
1999,F,Especialista Financiero,Trabajó en administrativo
2000,M,Angete Comercial,Trabajó en administrativo
2000,M,Asesor Comercial,Trabajó en administrativo
2000,F,Asesora Financiera,Trabajó en administrativo
2001,M,Asesor Talento Humano,Trabajó en administrativo
2001,M,Analista de Operaciones,Trabajó en administrativo
2001,M,Auxiliar de Costos,Trabajó en administrativo
2001,F,Gerente,Trabajó en administrativo
2001,M,Salud Ocupacional,Trabajó en administrativo
2001,M,Asesor Gestión de Riesgo,Trabajó en administrativo
2002,M,Programador,Trabajó en administrativo
2002,M,Contratación,Trabajó en administrativo
2002,M,Ejecutiva de Negocios,Trabajó en administrativo
2002,F,Asesor SST,Trabajó en administrativo
2003,F,Asesor Gestión de Riesgo,Trabajó en administrativo
2003,M,Gestión de Calidad,Trabajó en administrativo
2003,M,Especialista Financiero,Trabajó en administrativo
2003,F,SISBEN,Trabajó en administrativo
2003,M,Jefe de Planta,Trabajó en administrativo
2003,F,Analista de Planeación,Trabajó en administrativo
2004,M,Soporte y Operaciones,Trabajó en administrativo
2004,M,Administrador,Trabajó en administrativo
2004,M,AI Enginer,Trabajó en administrativo
2004,M,Gerente de Proyectos,Trabajó en administrativo
2004,M,Secretaria de Educación Pública,Trabajó en administrativo
2004,M,Gerente de Entrenamiento,Trabajó en administrativo
2004,F,Represtante de Ventas,Trabajó en administrativo
2004,F,Gestión de Calidad,Trabajó en administrativo
2004,M,Auxiliar de Proyectos,Trabajó en administrativo
2005,F,Asesor Comercial,Trabajó en administrativo
2005,F,Asesora Independiente,Trabajó en administrativo
2005,M,Jefe de Operaciones,Trabajó en administrativo
2005,M,Fundación Universitaria del Area Andina,Trabajó en administrativo
2005,M,Jefe de Servicio,Trabajó en administrativo
2005,F,Técnico de Recursos Humanos,Trabajó en administrativo
2005,M,Contratación,Trabajó en administrativo
2005,M,Jefe de Division Metrologica,Trabajó en administrativo
2006,M,Gestión de Calidad,Trabajó en administrativo
2006,M,Analista SST,Trabajó en administrativo
2006,F,Jefe de Logística,Trabajó en administrativo
2007,F,Analista de Compras,Trabajó en administrativo
2007,M,Asistente Gestión Humana,Trabajó en administrativo
2007,M,Jefe de Operaciones,Trabajó en administrativo
2007,M,Auxiliar de Proyectos,Trabajó en administrativo
2007,M,Asesor Comercial,Trabajó en administrativo
2009,F,Planificador,Trabajó en administrativo
1999,M,Gerente de Operaciones,Trabajó en administrativo
2004,M,Analista de Datos,Trabajó en administrativo
