A__o,SEXO,Consultor_1
2002,M,Salud Ocupacional y Medio Ambiente
1999,M,Gestión de Calidad
1999,M,Salud Ocupacional
1999,F,Finanzas
1999,F,Corporativo
2000,M,Corporativo
2000,M,Negocios
2000,M,Negocios
2000,M,Talento Humano
2000,F,Gestión de Calidad
2001,F,Negocios
2001,M,Gestión de Calidad
2001,M,Salud Ocupacional
2001,M,Salud Ocupacional
2001,M,Servicio de atención al cliente
2001,M,Logistico
2001,M,Gestión de Calidad
2001,M,Salud Ocupacional
2001,F,Gestión de Calidad
2001,F,Procesos
2002,F,Gestión de Calidad
2002,F,Empresarial
2002,M,Empresarial
2002,M,Gestión de Calidad
2002,M,HSE
2002,M,Logistico
2002,F,Negocios
2002,M,Servicio de atención al cliente
2002,M,Político y de Gobernabilidad
2002,F,Gestión de Calidad
2002,F,Gestión de Calidad
2003,M,Finanzas
2003,F,Gestión de Talento
2003,F,Gestión de Calidad
2003,M,Procesos
2004,M,Gestión de Calidad
2004,F,SAP
2004,F,Logistico
2004,M,Gestión de Calidad
2005,F,Salud Ocupacional
2005,M,Capacitación Empresarial
2005,M,Gestión de Calidad
2005,F,Logistico
2005,M,Empresarial
2005,M,Finanzas
2005,M,Comercial
2005,F,Gestión de Calidad
2005,M,Compras
2005,M,Logistico
2005,M,Gestión de Calidad
2005,F,Diseño de Sistemas
2006,M,Analista de Negocios
2006,M,Estrategia e Innovación
2007,M,Empresarial
2007,M,Operaciones
2007,M,Gestión de Calidad
2008,M,Alcaldía Distrital de Barranquilla
1999,M,Negocios
2006,M,Monitoreo y Evaluación de Proyectos
2004,M,Talento Humano
2001,F,Gestión de Calidad
2001,M,Desarrollo Empresarial
2002,M,Técnico
2000,F,Gestión de Calidad
2004,M,Inversión Pública
2005,M,Gestión de Calidad
