Ano,SEXO,Director_2,Trabajo
1999,M,Gestión de Calidad,Trabajó de Director
2001,M,Procesos Academicos,Trabajó de Director
2001,M,Financiero,Trabajó de Director
2002,F,Consultora de Proyectos,Trabajó de Director
2002,M,Estrategia de Ventas y Operaciones,Trabajó de Director
2003,F,Administrativo,Trabajó de Director
2004,M,Gestión de Proyectos,Trabajó de Director
2004,M,Gestión de Calidad,Trabajó de Director
2005,M,Gestión de Proyectos,Trabajó de Director
2005,M,Programación,Trabajó de Director
2006,M,Consultor General,Trabajó de Director
2007,M,Comercial,Trabajó de Director
