Ano,SEXO,Docencia_3,Trabajo
1999,M,Universidad Libre,Trabajó en docencia
2003,M,Universidad Libre,Trabajó en docencia
2006,M,Unviersidad Libre,Trabajó en docencia
2006,M,Universidad de Florida,Trabajó en docencia
2001,M,Universidad Simón Bolivar,Trabajó en docencia
2004,F,Universidad Simón Bolivar,Trabajó en docencia
2004,M,Universidad Simón Bolivar,Trabajó en docencia
2004,M,Universidad Simón Bolivar,Trabajó en docencia
2001,F,Universidad de Puerto Rico,Trabajó en docencia
1999,M,Universidad Autónoma del Caribe,Trabajó en docencia
2001,M,Universidad Tecnologica de Bolivar,Trabajó en docencia
2002,M,Corporación Universitaria Americana,Trabajó en docencia
2000,F,Universidad de Puerto Rico-Río Piedras,Trabajó en docencia
2004,M,Coporación Universitaria Minuto de Dios,Trabajó en docencia
2004,M,Corporación Autonoma Regional del Cauca,Trabajó en docencia
2000,M,Asesor en Seguridad y Salud en el Trabajo,Trabajó en docencia
1998,M,Universidad Nacional Abierta y a Distancia,Trabajó en docencia
2006,F,Universidad Nacional Abierta y a Distancia,Trabajó en docencia
2005,M,Fundación Universitaria Colombo Internacional,Trabajó en docencia
